rank,player,team,position,pos_rank,pts,floor,pp90
249,Azor Matusiwa,IPS,MID,93,126.36,126.63,5.69
250,Noni Madueke,ARS,MID,94,125.86,96.63,11.33
251,Ellis Simms,COV,FWD,51,125.19,74.52,9.39
252,Ryan Christie,BOU,MID,95,125.0,122.02,8.04
253,Keane Lewis-Potter,BRE,MID,96,124.52,106.78,6.23
254,Ross Barkley,AVL,MID,97,124.11,91.9,9.31
255,Daizen Maeda,IPS,FWD,52,124.06,90.73,6.57
256,Ezri Konsa,AVL,DEF,87,123.51,73.96,3.71
257,Ronald Araujo,LIV,DEF,88,123.36,84.88,7.93
258,Jens Hjerto-Dahl,HUL,MID,98,123.29,105.57,6.53
259,Danny Welbeck,CHE,FWD,53,123.11,71.83,9.23
260,Merlin Rohl,EVE,MID,99,122.88,109.23,6.14
261,Loum Tchaouna,COV,FWD,54,122.62,102.51,5.81
262,Tyrique George,EVE,FWD,55,122.1,101.27,10.99
263,Pedro Neto,CHE,FWD,56,122.04,95.83,9.99
264,Elliot Stroud,HUL,MID,100,121.33,108.09,6.82
265,Yoane Wissa,NEW,FWD,57,119.25,92.03,6.31
266,Wesley Fofana,CHE,DEF,89,117.24,104.09,5.86
267,Mason Mount,MUN,MID,101,116.93,92.45,9.57
268,Jacob Greaves,IPS,DEF,90,116.57,103.46,5.25
269,Matt Crooks,HUL,MID,102,115.91,112.14,5.8
270,Hidemasa Morita,HUL,MID,103,115.34,119.77,4.94
271,Sasa Lukic,IPS,MID,104,114.96,119.39,5.75
272,Oscar Mingueza,CRY,DEF,91,114.45,71.48,6.44
273,Hugo Ekitike,LIV,FWD,58,114.41,57.48,12.87
274,Mikel Merino,ARS,MID,105,114.27,70.42,10.28
275,Abdukodir Khusanov,MCI,DEF,92,114.0,73.87,6.41
276,Alvaro Rodriguez,BOU,FWD,59,113.88,81.46,10.25
277,Jorgen Strand Larsen,CRY,FWD,60,111.74,74.57,7.18
278,Mateo Kovacic,MCI,MID,106,111.68,94.0,7.18
279,Harry Maguire,MUN,DEF,93,111.64,87.31,7.18
280,Dwight McNeil,CRY,MID,107,111.59,81.74,8.37
281,Leny Yoro,MUN,DEF,94,111.13,89.55,5.0
282,Michael Keane,EVE,DEF,95,110.08,77.2,9.01
283,Jorrel Hato,CHE,DEF,96,109.82,101.72,5.2
284,Marcelino Nunez,IPS,MID,108,109.71,87.69,7.05
285,Curtis Jones,LIV,MID,109,108.85,91.03,7.0
286,Bafode Diakite,BOU,DEF,97,108.73,85.5,6.12
287,Carlos Baleba,BHA,MID,110,108.01,114.6,5.4
288,Destiny Udogie,TOT,DEF,98,107.89,74.51,4.86
289,Pep Chavarria,CHE,DEF,99,106.58,78.11,5.99
290,Rayan Ait-Nouri,MCI,DEF,100,106.21,70.64,9.56
291,Lucas Gourna-Douath,HUL,MID,111,105.67,111.04,5.28
292,Florentino Luis,IPS,MID,112,103.51,105.7,5.82
293,George Hirst,IPS,FWD,61,103.4,62.32,6.65
294,Lewis Dunk,BHA,DEF,101,102.08,80.45,5.1
